Date,New_Cases,New_Deaths
2020-01-22,0,0
2020-01-23,99,1
2020-01-24,287,8
2020-01-25,493,16
2020-01-26,684,14
2020-01-27,809,26
2020-01-28,2651,49
2020-01-29,588,2
2020-01-30,2068,38
2020-01-31,1693,42
2020-02-01,2111,46
2020-02-02,4749,103
2020-02-03,3100,64
2020-02-04,4011,66
2020-02-05,3745,72
2020-02-06,3159,70
2020-02-07,3532,85
2020-02-08,2734,87
2020-02-09,3027,100
2020-02-10,2538,107
2020-02-11,2042,100
2020-02-12,1886,5
2020-02-13,13645,253
2020-02-14,6484,152
2020-02-15,2075,143
2020-02-16,2114,104
2020-02-17,1936,98
2020-02-18,1794,140
2020-02-19,421,115
2020-02-20,547,123
2020-02-21,629,4
2020-02-22,1761,207
2020-02-23,323,10
2020-02-24,564,160
2020-02-25,853,80
2020-02-26,963,60
2020-02-27,1364,43
2020-02-28,1377,57
2020-02-29,1895,69
2020-03-01,2384,54
2020-03-02,1974,89
2020-03-03,2577,75
2020-03-04,2299,95
2020-03-05,2791,93
2020-03-06,3943,112
2020-03-07,4038,99
2020-03-08,3954,244
2020-03-09,3900,184
2020-03-10,5024,279
2020-03-11,7663,344
2020-03-12,5750,305
2020-03-13,14405,497
2020-03-14,11106,417
2020-03-15,11146,641
2020-03-16,14659,680
2020-03-17,15838,804
2020-03-18,19586,897
2020-03-19,27918,1106
2020-03-20,29608,1478
2020-03-21,32306,1705
2020-03-22,33410,1697
2020-03-23,42165,1917
2020-03-24,41154,2268
2020-03-25,50817,2777
2020-03-26,62960,3007
2020-03-27,64400,3518
2020-03-28,67657,3679
2020-03-29,59577,3473
2020-03-30,64639,4164
2020-03-31,76416,4844
2020-04-01,76214,5551
2020-04-02,81399,6305
2020-04-03,83155,5985
2020-04-04,80463,5841
2020-04-05,71718,5021
2020-04-06,72672,5832
2020-04-07,76873,7902
2020-04-08,83775,6735
2020-04-09,86625,7629
2020-04-10,87658,7272
2020-04-11,76965,6069
2020-04-12,96802,5731
2020-04-13,69594,5747
2020-04-14,69927,6898
2020-04-15,80829,8312
2020-04-16,96712,7283
2020-04-17,87724,8890
2020-04-18,73958,6471
2020-04-19,80523,4570
2020-04-20,73339,5443
2020-04-21,75250,7157
2020-04-22,78994,6755
2020-04-23,89013,6850
2020-04-24,96974,6674
2020-04-25,84932,5578
2020-04-26,72948,3883
2020-04-27,68704,4649
2020-04-28,75404,6463
2020-04-29,79558,6768
2020-04-30,83681,5962
2020-05-01,87046,5177
2020-05-02,81853,5325
2020-05-03,77636,3453
2020-05-04,76078,4128
2020-05-05,79989,5871
2020-05-06,90022,6669
2020-05-07,90669,5409
2020-05-08,92997,5568
2020-05-09,85846,4265
2020-05-10,76255,3566
2020-05-11,76298,3473
2020-05-12,83619,5547
2020-05-13,84917,5228
2020-05-14,97106,5268
2020-05-15,96349,5215
2020-05-16,95412,4171
2020-05-17,78509,3329
2020-05-18,88284,3291
2020-05-19,96633,4784
2020-05-20,103028,4885
2020-05-21,106438,4786
2020-05-22,106900,5284
2020-05-23,105289,3989
2020-05-24,95326,3140
2020-05-25,87335,1178
2020-05-26,92742,4203
2020-05-27,102600,5213
2020-05-28,119314,4701
2020-05-29,121167,4742
2020-05-30,137833,4156
2020-05-31,107552,2888
2020-06-01,95195,3068
2020-06-02,121577,4823
2020-06-03,119389,5572
2020-06-04,126937,5149
2020-06-05,130863,4776
2020-06-06,135942,3881
2020-06-07,112259,2742
2020-06-08,102225,3697
2020-06-09,124342,4922
2020-06-10,134025,5205
2020-06-11,138114,4774
2020-06-12,129094,4297
2020-06-13,136010,4238
2020-06-14,133421,3374
2020-06-15,119638,3425
2020-06-16,141403,6867
2020-06-17,141853,5255
2020-06-18,139928,5029
2020-06-19,180954,6273
2020-06-20,157552,4249
2020-06-21,128539,3963
2020-06-22,137858,3571
2020-06-23,165338,5311
2020-06-24,171183,5261
2020-06-25,177887,6627
2020-06-26,191346,4827
2020-06-27,178110,4486
2020-06-28,162349,3089
2020-06-29,158572,3721
2020-06-30,173898,5132
2020-07-01,217689,5011
2020-07-02,207705,5120
2020-07-03,203495,4995
2020-07-04,193567,4369
2020-07-05,182695,3445
2020-07-06,167343,3797
2020-07-07,210844,6107
2020-07-08,211802,5319
2020-07-09,228227,5458
2020-07-10,232577,5311
2020-07-11,216328,4897
2020-07-12,192668,3954
2020-07-13,192779,3815
2020-07-14,221452,5660
2020-07-15,231122,5493
2020-07-16,252544,5799
2020-07-17,242038,6743
2020-07-18,237635,5627
2020-07-19,214647,4029
2020-07-20,206778,4160
2020-07-21,233565,6238
2020-07-22,280647,6983
2020-07-23,282756,9966
2020-07-24,281164,6144
2020-07-25,255545,4867
2020-07-26,204606,4104
2020-07-27,228693,5415
